ra,dec,redshift,class
185.2306077,0.010099581,0.000576704,STAR
185.3772509,0.200803727,0.000349798,STAR
159.6249648,-0.62071445,-0.000256492,STAR
159.7978416,-0.557196466,0.02335118,GALAXY
159.8033022,-0.535038616,0.1236402,GALAXY
159.8475235,-0.5342664,0.1141676,GALAXY
159.9393455,-0.609184323,0.000790241,STAR
160.0342636,-0.421625751,0.1330486,GALAXY
160.0351619,-0.599992669,0.07470067,GALAXY
160.1442091,-0.489329778,0.000106767,STAR
160.119405,-0.61813005,0.08692535,GALAXY
160.2275468,-0.433199867,0.1335348,GALAXY
160.2486687,-0.579992361,0.1370104,GALAXY
160.3831151,-0.459235231,0.1373722,GALAXY
160.3848058,-0.586704796,0.1346428,QSO
160.4339517,-0.608481498,0.1321922,GALAXY
160.4436424,-0.600549712,0.03641907,GALAXY
160.4534919,-0.617038417,0.1383506,GALAXY
160.6582067,-0.439603952,0.000149526,STAR
160.6754542,-0.559791088,0.000236645,STAR
160.7170039,-0.609533502,-0.000114203,STAR
160.7303546,-0.521740212,0.000186468,STAR
160.8121077,-0.520466085,0.000830783,STAR
160.8166374,-0.557673714,-7.66E-05,STAR
160.8202892,-0.52224098,-4.79E-05,STAR
160.7014882,-0.445422709,0.08592108,GALAXY
160.8486802,-0.627079872,0.000700168,STAR
160.93824,-0.423246618,0.03910941,GALAXY
160.936366,-0.421334413,0.03917867,GALAXY
160.8619387,-0.422734986,0.1273446,GALAXY
160.878832,-0.584109529,0.0190457,GALAXY
160.9913453,-0.507477148,0.05955937,GALAXY
160.9953137,-0.478531394,6.1E-05,STAR
160.9977374,-0.468998759,0.06012432,GALAXY
161.0084679,-0.57896477,-0.000187248,STAR
161.0623439,-0.494714915,-4.96E-05,STAR
161.0900299,-0.612438382,0.000899142,STAR
161.094801,-0.452049786,-7.84E-05,STAR
161.115243,-0.575633407,0.000107983,STAR
160.9911005,-0.561372535,0.06164807,GALAXY
160.9981591,-0.588311672,0.06063098,GALAXY
160.996765,-0.588244892,0.06067357,GALAXY
161.0643247,-0.484587014,0.0603932,GALAXY
161.1335288,-0.569857253,0.000450099,STAR
161.1805844,-0.456397413,0.000161562,STAR
161.2107488,-0.433373886,-0.000111743,STAR
161.2265355,-0.470463619,0.000657249,STAR
161.255471,-0.531927477,-0.000287019,STAR
161.1426397,-0.434574053,0.08483262,GALAXY
161.1642017,-0.434453905,0.08539017,GALAXY
161.1736817,-0.503545461,0.1161265,GALAXY
161.0737895,-0.89274034,0.03869415,GALAXY
161.0244718,-0.962380281,0.02655639,GALAXY
161.1941229,-1.023623943,0.00088935,STAR
161.238814,-0.840751357,0.000386423,STAR
161.2480303,-0.958166789,0.00018398,STAR
161.2734198,-0.996668901,3.98E-05,STAR
161.3031007,-0.964276286,0.000365554,STAR
161.3075532,-1.046361578,0.9693318,QSO
161.3076233,-0.922529503,0.000182587,STAR
161.3506918,-0.893119394,0.00023867,STAR
161.3585111,-1.020013399,2.093151,QSO
161.4256487,-0.991083327,0.000356511,STAR
161.4407033,-0.974533129,0.000332482,STAR
161.4871696,-0.879257492,0.08621725,GALAXY
161.5643091,-1.017804433,0.06744873,GALAXY
161.5783055,-0.856035602,0.000291299,STAR
161.6803789,-0.875843442,6.27E-05,STAR
161.6933527,-0.923690302,0.000995929,STAR
161.6351321,-0.855769711,0.150701,GALAXY
161.7379245,-1.015841899,0.000695604,STAR
161.7416796,-0.987110454,5.17E-05,STAR
161.7416467,-0.846029366,5.78E-05,STAR
161.7408913,-0.97987371,0.03981317,GALAXY
161.8112567,-1.020950417,-0.000138961,STAR
161.8815501,-0.919919301,7.93E-05,STAR
161.9354758,-0.950524205,9.74E-05,STAR
161.8843346,-0.944497872,0.05151358,GALAXY
162.047298,-0.840633793,0.000543499,STAR
162.0813465,-0.941748913,0.000586336,STAR
162.098584,-0.914676301,0.000117847,STAR
162.1200426,-0.96306428,1.741678,QSO
162.1613267,-1.041705966,5.17E-05,STAR
162.177631,-1.007117476,0.000264481,STAR
162.19974,-1.01466107,-5.87E-07,STAR
162.2248113,-0.987748767,0.000274919,STAR
162.2465655,-0.918542011,-0.00045622,STAR
162.305639,-1.003780829,2.006571,QSO
162.2042136,-0.987362487,0.02614697,GALAXY
162.289475,-0.908548805,0.03804233,GALAXY
162.3337182,-1.001236825,0.00038865,STAR
162.3451997,-0.846905435,0.000164115,STAR
162.4100525,-0.974669972,0.000326733,STAR
162.4063775,-0.907118295,0.03836371,GALAXY
162.4924287,-1.037511669,7.82E-05,STAR
162.588828,-0.87201293,5.26E-05,STAR
162.5862969,-0.873837222,0.1074627,GALAXY
162.5985101,-0.990873937,-3.76E-05,STAR
162.6110238,-0.890844709,-4.71E-05,STAR
162.5471497,-1.002056509,0.1045614,GALAXY
162.6673956,-0.900916547,0.000263051,STAR
218.7291721,0.458112049,-5.7E-06,STAR
218.8321711,0.47572999,0.02956719,GALAXY
219.083277,0.576226173,2.47E-05,STAR
219.1969133,0.627944731,0.1097059,GALAXY
219.1376572,0.432899037,0.07221484,GALAXY
219.2504009,0.564754111,0.03472417,GALAXY
219.5617663,0.547663882,-2.66E-05,STAR
219.5819712,0.471852739,1.257948,QSO
219.582247,0.595887057,7.05E-05,STAR
219.5886352,0.510878933,-0.000276482,STAR
219.6611664,0.569298323,-0.000385041,STAR
219.6651858,0.441050803,1.971239,QSO
219.7797727,0.508632556,0.03325611,GALAXY
219.9387246,0.531203465,0.116515,GALAXY
220.1224112,0.584089432,0.03717615,GALAXY
220.1776293,0.606597158,0.000255278,STAR
220.1815105,0.464743603,0.1092154,GALAXY
220.2475691,0.561580939,0.1087394,GALAXY
220.5992691,0.61894204,-7.05E-05,STAR
220.6831889,0.598384718,-4.11E-06,STAR
220.6841228,0.454116001,-5.16E-05,STAR
220.7117312,0.461338753,-0.000233312,STAR
220.7243306,0.502230386,-0.000133688,STAR
220.7765893,0.561814348,-0.000180286,STAR
220.8054143,0.589285246,-0.00015097,STAR
220.8102039,0.632124422,-0.000134868,STAR
220.9195257,0.513809061,7.8E-05,STAR
221.0127141,0.463478571,-0.00052212,STAR
221.0113376,0.538007926,-0.000247798,STAR
221.0417383,0.564546475,4.98E-05,STAR
221.0641256,0.587618415,-9.23E-05,STAR
221.1327369,0.436973652,9.98E-05,STAR
221.1528564,0.451438122,-1E-05,STAR
221.1632802,0.483958452,3.19E-05,STAR
221.2272293,0.451146308,-0.000504086,STAR
221.2572581,0.476426183,-0.000743644,STAR
221.2637264,0.526978719,0.02873155,GALAXY
221.2678582,0.436562846,0.000255486,STAR
221.2777376,0.49473218,0.1098084,GALAXY
221.3649932,0.454014692,0.000836224,STAR
221.4417135,0.581083659,0.000249663,STAR
221.4984006,0.597512281,0.000166582,STAR
221.5338532,0.623223399,0.000397916,STAR
221.5625405,0.580158773,-0.000196452,STAR
221.5957744,0.528211211,-0.000381969,STAR
221.5958569,0.480183884,0.000249086,STAR
221.5173497,0.501690543,2.57E-05,STAR
221.6858026,0.541573251,-9.47E-05,STAR
221.6930663,0.430141182,-0.000177157,STAR
221.7061314,0.528685833,-0.000211658,STAR
121.8207518,0.93199037,0.1019929,GALAXY
122.0878999,0.843146891,0.1015328,GALAXY
122.8639945,0.896150822,0.00048813,STAR
122.9819452,0.96385693,0.000132041,STAR
122.988638,0.973742938,9.27E-05,STAR
122.9356354,0.899085529,0.000452989,STAR
123.0393857,0.930070447,0.000128369,STAR
123.0202645,0.911874556,5.72E-05,STAR
123.0165354,0.848145359,1.72E-05,STAR
123.2025005,0.905129931,-0.000242254,STAR
123.2678952,0.960993455,-5.54E-05,STAR
123.3488072,0.922523639,0.000239212,STAR
123.4261304,0.881883846,0.000146998,STAR
123.5879603,0.919738666,-7.06E-06,STAR
123.5452677,0.931392114,0.000235469,STAR
123.6127771,0.948787095,0.06836422,GALAXY
123.6735605,0.861348537,0.000224322,STAR
123.7430415,1.006398633,0.09046602,GALAXY
110.0700392,1.218734691,0.000104138,STAR
110.2464537,1.364871806,0.000391139,STAR
110.2753731,1.407069681,0.000127138,STAR
110.2730305,1.424806619,9.15E-05,STAR
110.4555313,1.254180245,0.00034609,STAR
110.4698503,1.228434849,0.000182417,STAR
110.7306996,1.289661343,0.000170339,STAR
119.8221026,1.324423012,0.000258839,STAR
119.9972972,1.295618869,0.000270987,STAR
120.124148,1.311372513,0.000208869,STAR
120.194987,1.339231727,0.000275159,STAR
120.2980709,1.359265937,0.000391232,STAR
120.5478185,1.281227451,-6.64E-05,STAR
244.5764969,-1.255263413,0.1272051,GALAXY
243.907446,0.00239456,0.06540032,GALAXY
244.1023322,0.002619598,0.07115377,GALAXY
243.3470265,0.424137063,0.5894275,QSO
174.1644883,-0.956707465,0.001135097,STAR
239.3606352,-0.916689727,0.03969949,GALAXY
239.40207,-0.975878752,-0.000143192,STAR
243.567524,-0.880445873,0.07050942,GALAXY
243.7088761,-0.915652961,0.0307668,GALAXY
243.8473685,-0.898343247,1.06284,QSO
244.1624119,-0.889893127,-0.000178635,STAR
244.5126642,-0.934182657,0.04402394,GALAXY
244.8139448,-0.937774714,0.000609734,STAR
244.9490533,-0.894234904,1.496161,QSO
245.4938873,-0.903742395,-0.000872277,STAR
245.3593715,-0.905392886,0.06565089,GALAXY
245.4176593,-0.855605136,0.04565,GALAXY
245.4760412,-0.85992427,0.04462435,GALAXY
245.5388243,-0.872555232,0.04954444,GALAXY
205.0729646,-0.682611701,0.08937013,GALAXY
205.6135979,-0.65715286,0.08640119,GALAXY
205.6955733,-0.694928963,6.53E-05,STAR
205.6503963,-0.628361675,0.07104074,GALAXY
205.7420141,-0.765420756,0.07053274,GALAXY
205.760907,-0.742003104,0.06982873,GALAXY
205.8072795,-0.786819198,0.08875664,GALAXY
205.9169873,-0.833501027,0.1066131,GALAXY
206.0447121,-0.761242085,0.08685333,GALAXY
206.1416484,-0.678727673,0.000784398,STAR
206.1712247,-0.830625848,2.270286,QSO
206.1139515,-0.728211449,1.452307,QSO
206.3704304,-0.79829575,0.08845632,GALAXY
206.3741669,-0.781673248,0.08813617,GALAXY
206.5245798,-0.698895662,5.59E-05,STAR
206.5766774,-0.801586179,0.088566,GALAXY
206.6330657,-0.724304266,0.1484416,GALAXY
206.7980856,-0.770183129,0.000224824,STAR
206.8064741,-0.671287487,0.04749686,GALAXY
207.1038115,-0.816326578,-1.12E-05,STAR
207.0943716,-0.766966437,0.02614107,GALAXY
207.1466367,-0.672593158,0.000308748,STAR
207.1816447,-0.72594899,0.000129414,STAR
207.2248563,-0.782370622,2.77E-06,STAR
207.2581291,-0.83005592,0.000106044,STAR
207.3929659,-0.684141388,0.5148025,QSO
207.4450935,-0.741950842,0.07854678,GALAXY
207.4502062,-0.728052903,0.07823353,GALAXY
207.456735,-0.726104512,0.05310636,GALAXY
207.4893691,-0.803272151,0.0927506,GALAXY
207.7048473,-0.81179491,0.09100784,GALAXY
207.8799425,-0.745471512,-4.7E-05,STAR
208.0694192,-0.775694214,1.244108,QSO
208.2329375,-0.696097698,0.1155662,GALAXY
208.6412171,-0.776612716,0.02707425,GALAXY
208.6944506,-0.674094359,0.03762654,GALAXY
208.6981259,-0.760115862,0.1425752,GALAXY
208.737877,-0.660098784,0.08791664,GALAXY
208.9381501,-0.757246504,0.00010314,STAR
209.0907019,-0.656281418,0.07908808,GALAXY
209.2886379,-0.644143632,0.07006504,GALAXY
209.2936401,-0.832521517,0.08909858,GALAXY
209.3959125,-0.780272541,1.771222,QSO
209.4291533,-0.76259171,0.02961222,GALAXY
209.4867038,-0.666855747,0.06956718,GALAXY
209.6880596,-0.724960989,0.000322833,STAR
209.6752277,-0.658012832,0.131564,GALAXY
209.8488453,-0.831517588,-0.000162314,STAR
209.9513169,-0.766163443,0.10632,GALAXY
185.3793616,0.086911559,0.1072231,GALAXY
185.2675684,0.084620838,0.1070803,GALAXY
185.2807974,0.047531708,0.1572411,QSO
185.3794557,0.128518845,1.335835,QSO
185.4481335,0.015136137,7.54E-05,STAR
185.4852185,0.163399564,0.106216,GALAXY
185.5285092,0.082486629,0.000359946,STAR
185.5577817,0.032905127,0.000522862,STAR
185.6519768,0.041542657,1.330196,QSO
185.7174995,0.091660892,-0.000120691,STAR
185.7471422,0.196282529,1.895719,QSO
185.7665342,0.028554011,0.000433085,STAR
185.7703275,0.198644075,-6.92E-05,STAR
185.8555339,0.133289829,0.1062806,GALAXY
185.9015378,0.145036439,0.000477176,STAR
185.9800838,0.039155301,0.000413841,STAR
186.0117034,0.044316373,-7.29E-05,STAR
186.0339366,0.005707661,-0.000172935,STAR
186.0765226,0.056070732,4.18E-05,STAR
186.1011642,0.119306272,0.000645126,STAR
186.1111769,0.008868983,0.000777288,STAR
186.0158913,0.154528346,0.000105949,STAR
186.0264298,0.117306796,0.000220751,STAR
186.0338356,0.113212743,0.1560981,GALAXY
186.0395803,0.164585909,0.07909836,GALAXY
186.1138317,0.152882187,0.02549985,GALAXY
186.1347569,0.052198991,-0.000120104,STAR
186.1469047,0.129426424,0.04204269,GALAXY
186.2121934,0.009597379,0.000557983,STAR
186.2498484,0.130219088,0.000325267,STAR
186.2572072,0.14850123,-3.05E-05,STAR
186.2859601,0.0619333,0.000185148,STAR
186.3574026,0.063831679,-4.3E-05,STAR
186.3602569,0.082352935,8.97E-05,STAR
186.4232854,0.099919905,8.83E-05,STAR
186.5682699,0.010097677,1.974752,QSO
186.57943,0.054573323,3.88E-05,STAR
186.5990118,0.141232724,0.000351364,STAR
186.6066405,0.20615305,8.27E-05,STAR
186.4978786,0.065823842,0.000480309,STAR
186.6787473,0.151634688,-5.95E-06,STAR
186.7344875,0.068075388,-0.000470792,STAR
186.7453887,0.103838626,0.000180701,STAR
186.7485617,0.173245776,-8.99E-05,STAR
186.7047151,0.185916794,0.000759523,STAR
186.8003236,0.059674849,4.77E-05,STAR
186.8132968,0.031704699,8.09E-05,STAR
186.8826033,0.140064967,-7.73E-05,STAR
186.9081124,0.145877191,-6.67E-05,STAR
186.8641983,0.048890673,0.1129216,GALAXY
161.2733832,-0.480484617,3.34E-05,STAR
161.2911065,-0.580470302,0.000289836,STAR
161.3114825,-0.611121142,0.000308735,STAR
161.3272007,-0.562638536,1.47E-05,STAR
161.397725,-0.62154885,4.9E-05,STAR
161.4052563,-0.486109289,4.41E-05,STAR
161.2784639,-0.463088739,0.1602088,GALAXY
161.3850943,-0.491358226,5.94E-05,STAR
161.395036,-0.425750026,0.08583559,GALAXY
161.4243997,-0.431367287,-3.29E-06,STAR
161.4802825,-0.489372713,-4.45E-05,STAR
161.543731,-0.52396033,7.93E-05,STAR
161.4226664,-0.519243206,0.08484705,GALAXY
161.4291092,-0.593212362,0.08506283,GALAXY
161.5808653,-0.541816567,-6.33E-05,STAR
161.7050514,-0.458871115,0.000220861,STAR
161.5826318,-0.528305814,0.03836075,GALAXY
161.5988002,-0.550141164,0.07696021,GALAXY
161.7257035,-0.62828994,5.11E-05,STAR
161.7358885,-0.528817419,0.000160757,STAR
161.7465183,-0.455315161,2.93E-05,STAR
161.7748594,-0.530884415,0.00021777,STAR
161.7767287,-0.603295291,0.000417742,STAR
161.7918721,-0.465260439,5.1E-06,STAR
161.8170027,-0.559084404,0.000431994,STAR
161.9235309,-0.446979654,0.000371594,STAR
161.9547497,-0.483262053,8.16E-06,STAR
161.9884128,-0.455832573,-7.6E-05,STAR
161.9479009,-0.571582908,-7.98E-05,STAR
162.0148637,-0.516032181,0.000115074,STAR
162.0176696,-0.57640739,0.07662232,GALAXY
162.0223666,-0.497567627,3.53E-05,STAR
162.0738924,-0.425342059,0.000423333,STAR
162.0756395,-0.582039698,-0.000151586,STAR
162.1164869,-0.605247906,0.000689084,STAR
162.1289827,-0.61062082,-3.1E-05,STAR
162.0583379,-0.466288167,0.000578048,STAR
162.0873708,-0.590559104,0.000937404,STAR
162.1670398,-0.525241435,0.08180232,GALAXY
162.1734378,-0.466463383,2.92E-05,STAR
162.195429,-0.541062258,0.000755086,STAR
162.2144182,-0.479057972,0.06747919,GALAXY
162.2694814,-0.528871015,0.000465222,STAR
162.3015076,-0.51094568,0.08137379,GALAXY
162.3357217,-0.562916471,0.000652362,STAR
162.3820105,-0.433749396,8.63E-05,STAR
162.4486986,-0.594963917,0.0009889,STAR
162.4549608,-0.573184032,0.000246799,STAR
162.3536023,-0.429879442,0.0385065,GALAXY
162.3581306,-0.56013578,0.05014241,GALAXY
152.3548242,-0.129743707,0.09504843,GALAXY
152.289487,-0.063071315,0.09546287,GALAXY
152.381682,-0.040947164,0.09588677,GALAXY
152.3880113,-0.009528702,0.09656405,GALAXY
152.4089187,-0.1597434,0.1375496,GALAXY
152.4326086,-0.052129,0.09537001,GALAXY
152.5672169,-0.074787263,0.09642068,GALAXY
152.4630107,-0.121920001,0.06256203,GALAXY
152.505931,-0.197912627,0.1512586,GALAXY
152.5289809,-0.057700135,0.05838413,GALAXY
152.7169946,-0.134280382,0.06864782,GALAXY
152.6749475,-0.127761598,0.05841528,GALAXY
153.0783934,-0.060261656,-8.45E-05,STAR
153.3642745,-0.029097508,-0.000145414,STAR
153.4742924,-0.154835469,0.098474,GALAXY
153.3982997,-0.175484773,0,GALAXY
153.4494386,-0.174722052,0.08873131,GALAXY
153.4961219,-0.081581072,0.09037467,GALAXY
153.4992653,-0.090523242,0.09169753,GALAXY
153.5174567,-0.060347679,0.09730428,GALAXY
153.5243856,-0.127143014,0.0463312,GALAXY
153.5322459,-0.051038707,0.09289638,GALAXY
153.6778371,-0.159828151,3.09E-05,STAR
153.6494362,-0.15526035,0.09554408,GALAXY
153.8345141,-0.129786642,0.000116237,STAR
153.8572373,-0.070510582,0.1442524,GALAXY
154.0026584,-0.112700988,0.05991426,GALAXY
154.1217706,-0.026990451,0.1043095,GALAXY
154.2444222,-0.119017277,0.3372652,QSO
154.3596352,-0.164217093,0.3449105,QSO
154.2790993,-0.175661495,0.03401261,GALAXY
154.386659,-0.073125064,0.0655472,GALAXY
154.3883821,-0.02924697,0.06103761,QSO
154.4271495,-0.193461068,0.09604297,GALAXY
154.4527175,-0.030763014,0.06358586,GALAXY
154.598453,-0.091045308,1.40169,QSO
154.6119178,-0.164199838,1.812651,QSO
154.6224791,-0.141871296,2.137572,QSO
154.5355886,-0.084208298,0.0610805,GALAXY
154.5490428,-0.149462427,0.06397337,GALAXY
154.618369,-0.070620227,0.06570753,GALAXY
154.6518352,-0.178075478,0.06359103,GALAXY
154.7493615,-0.18252079,0.09228784,GALAXY
154.7959231,-0.153860577,0.00048925,STAR
154.8561628,-0.02990685,0.8181214,QSO
154.8642837,-0.034539174,0.04713511,GALAXY
154.9829995,-0.201431597,0.06346736,GALAXY
155.0158663,-0.113941462,0.1253822,GALAXY
155.2481467,-0.176081021,0.05594477,GALAXY
162.6701244,-0.87441191,0.001075843,STAR
162.6764338,-0.976079059,3.33E-05,STAR
162.6854879,-0.880851558,0.000481111,STAR
162.6896786,-0.966709448,0.000377808,STAR
162.7141895,-1.005200603,0.000494897,STAR
162.7158864,-0.903381134,0.03808302,GALAXY
162.7664195,-0.86051431,0.000152524,STAR
162.6520562,-0.923054037,0.06308059,GALAXY
162.7014703,-0.954627801,7.34E-05,STAR
162.7279612,-0.970882486,0.1156367,GALAXY
162.7997264,-1.045256905,0.000592458,STAR
162.8093841,-0.973930463,0.000190312,STAR
162.8970504,-1.047254012,4.71E-05,STAR
162.7761506,-0.955235439,0.0597514,GALAXY
162.8411225,-1.009334504,0.000488068,STAR
162.88697,-1.002880575,0.03730522,GALAXY
162.9638145,-0.878170696,0.00071068,STAR
162.9643543,-0.854905185,0.3589468,QSO
162.9797498,-0.893744848,0.0485734,GALAXY
163.0569778,-0.979022039,2.684319,QSO
163.0632234,-0.964998595,-5.05E-05,STAR
163.0620598,-0.95549272,0.04899042,GALAXY
162.9443796,-0.920007262,0.0823582,GALAXY
163.0141981,-1.017652731,0.223468,GALAXY
163.1020174,-0.887508573,-1.7E-05,STAR
163.1626574,-0.943445495,0.000114978,STAR
163.090331,-0.843594812,0.08386619,GALAXY
163.15046,-0.917234757,0.08434325,GALAXY
163.1776402,-0.926396752,0.08470514,GALAXY
163.3969574,-0.865360114,1.061694,QSO
163.4702877,-0.981304007,1.564207,QSO
163.5929159,-0.906219807,-2.91E-06,STAR
163.6383429,-0.869652162,0.000758047,STAR
163.6794939,-0.87505947,0.07515175,GALAXY
163.9566297,-1.007108565,-0.000113937,STAR
163.834242,-0.943390113,0.0747895,GALAXY
163.8158989,-0.928110079,0.05176416,GALAXY
164.0001413,-0.95482227,0.07376982,GALAXY
164.0898765,-0.889000408,0.07545097,GALAXY
164.1925042,-0.846054732,4.03E-06,STAR
164.1260558,-0.84856516,0.07552451,GALAXY
164.1523532,-0.990247421,0.05539397,GALAXY
164.1900122,-0.878395457,0.07356068,GALAXY
164.2268908,-0.919755342,6.5E-05,STAR
164.3156522,-0.980575149,0.0755645,GALAXY
164.3616955,-0.880134204,0.0910571,GALAXY
164.2759011,-0.914477456,0.0750734,GALAXY
164.51317,-0.904222454,1.955735,QSO
164.6667637,-0.987072205,0.09644709,GALAXY
221.7381938,0.475333981,-0.000309939,STAR
221.7576158,0.621696381,0.000779206,STAR
221.7112089,0.468614707,0.055526,GALAXY
221.7667332,0.479062035,0.05580719,GALAXY
221.768661,0.493656063,0.1714733,GALAXY
221.7743555,0.585563069,0.0957781,GALAXY
221.808461,0.4668914,-5.2E-05,STAR
221.864273,0.60323062,0.000123053,STAR
221.8677738,0.627794047,9.77E-06,STAR
221.9023083,0.462168351,-4.83E-05,STAR
221.9079467,0.496709993,-0.000273817,STAR
221.8401355,0.611705926,0.07452711,GALAXY
221.9406163,0.474738647,-0.000482178,STAR
221.9841904,0.446387396,-3.77E-05,STAR
222.0073006,0.44112968,8.45E-05,STAR
222.0195014,0.577652875,-0.000594061,STAR
222.0699747,0.632685808,0.5843571,GALAXY
222.0703954,0.578781767,-0.000334776,STAR
222.101398,0.566545636,0.000655746,STAR
222.1474027,0.617188571,7.7E-05,STAR
222.1748219,0.478226741,-0.000256686,STAR
222.205534,0.491712354,0.001026436,STAR
222.2093895,0.458158089,6.46E-05,STAR
222.2268243,0.462859925,0.03443914,GALAXY
222.1655886,0.447783487,0.03457854,GALAXY
222.2592131,0.609162935,2.17E-06,STAR
222.2676231,0.627672056,-0.000858878,STAR
222.2867267,0.439344856,0.000134893,STAR
222.3385013,0.524255538,-3.39E-05,STAR
222.2496265,0.583698893,0.000255109,STAR
222.3909008,0.48756861,-6.58E-05,STAR
222.3927505,0.605170014,-0.000132466,STAR
222.4040716,0.562050518,0.000278954,STAR
222.4418208,0.613423199,-2.63E-05,STAR
222.4890999,0.558296016,0.03983419,GALAXY
222.4914543,0.548738021,-0.000171654,STAR
222.5090329,0.578780567,0.04041696,GALAXY
222.4998689,0.540387339,1.708234,QSO
222.5548702,0.593016181,-4.61E-05,STAR
222.6287311,0.610314038,8.74E-05,STAR
222.6526556,0.623412513,1.078722,QSO
222.5356133,0.614590469,0.04044159,GALAXY
222.5495784,0.543575298,0.03950118,GALAXY
222.5581618,0.557515184,0.03979656,GALAXY
222.807498,0.447500575,0.0635696,GALAXY
222.8613088,0.491121435,0.00019872,STAR
222.9301236,0.551959989,3.52E-05,STAR
222.9339678,0.432157455,0.000122931,STAR
222.9554203,0.472939254,2.56E-05,STAR
223.035008,0.494678056,0.000164416,STAR
245.7006332,-0.84430057,0.04593659,GALAXY
246.020743,-0.877447933,0.05315065,GALAXY
246.015172,-0.902868763,0.04652571,GALAXY
246.1524866,-0.919125262,-0.000221536,STAR
246.1603004,-0.896662044,0.04825275,GALAXY
246.273403,-0.935451398,-5.15E-05,STAR
247.1761035,-0.882946006,-9.56E-05,STAR
247.2544886,-0.854530838,9.41E-06,STAR
249.6593149,-0.904867054,-0.000116555,STAR
249.5831957,-0.915852881,-0.000429915,STAR
249.692212,-0.891026543,0.08782733,GALAXY
183.7019288,-0.631993123,0.000592011,STAR
184.0692739,-0.631512778,0.7351998,GALAXY
238.9877701,-0.602334742,0.7628108,QSO
239.4079453,-0.509933342,-0.000582766,STAR
239.3827793,-0.467645078,0.08465462,GALAXY
239.54234,-0.522224201,2.832395,QSO
242.9819418,-0.485089759,-0.000417835,STAR
242.9548229,-0.446457437,0.08011556,GALAXY
243.0210074,-0.494569887,0.06661516,GALAXY
243.8843939,-0.458423132,0.1464716,QSO
244.1129567,-0.492485347,-5.11E-06,STAR
244.1388571,-0.484508165,-1.16E-05,STAR
244.2849104,-0.455476627,0.09280799,GALAXY
244.491831,-0.470565564,0.01660742,GALAXY
244.4967906,-0.498397857,0.0504769,GALAXY
244.916397,-0.523075658,-0.00034075,STAR
244.9255821,-0.455836405,0.07900908,GALAXY
244.9355448,-0.479246996,0.05936759,GALAXY
245.1284933,-0.499415435,0.5382954,QSO
245.3673526,-0.457073809,0.05909181,GALAXY
245.3766944,-0.457007952,0.06916405,GALAXY
245.9784794,-0.483455495,0.09362785,GALAXY
246.0343781,-0.473284059,0.1424379,GALAXY
246.268157,-0.426989896,0.04653732,GALAXY
246.6956258,-0.510110724,0.044495,GALAXY
246.7820809,-0.492431557,0.04619161,GALAXY
247.0211391,-0.448676629,1.149604,QSO
248.2690158,-0.488919926,-7.32E-05,STAR
248.8945205,-0.452329487,0.07018682,GALAXY
249.4965512,-0.498468272,0.05894065,GALAXY
189.429821,-0.131042119,0.000648475,STAR
189.4485445,-0.052745243,0.000257387,STAR
189.453801,-0.097312842,5.91E-07,STAR
189.4687466,-0.035999748,0.000579113,STAR
189.5222492,-0.027031353,0.01251297,GALAXY
